mill_id,mill_name,year,month,heat_score,anomaly_pixels,anomaly_frac,mean_swir,peak_swir,zscore_max,prediction,threshold_used
1,Baoshan Iron & Steel,2019,1,0.097749,15879,0.037299,1121.17,3127.42,16.423,ACTIVE,0.05664
1,Baoshan Iron & Steel,2019,3,0.07468,13620,0.031993,1370.3,3364.0,6.132,ACTIVE,0.05664
1,Baoshan Iron & Steel,2019,4,0.067519,12301,0.028895,1476.17,3548.0,6.545,ACTIVE,0.05664
1,Baoshan Iron & Steel,2019,5,0.037926,8590,0.020178,1796.24,3257.5,6.93,IDLE,0.05664
1,Baoshan Iron & Steel,2019,6,0.056548,10726,0.025195,1780.71,3995.5,9.538,IDLE,0.05664
1,Baoshan Iron & Steel,2019,8,0.137008,25165,0.059112,1746.58,4366.75,9.192,ACTIVE,0.05664
1,Baoshan Iron & Steel,2019,9,0.1154,20292,0.047665,1844.74,4718.25,6.255,ACTIVE,0.05664
1,Baoshan Iron & Steel,2019,10,0.124285,20489,0.048128,1424.09,4091.46,6.193,ACTIVE,0.05664
1,Baoshan Iron & Steel,2019,11,0.092156,14656,0.034427,1233.0,3435.0,9.209,ACTIVE,0.05664
1,Baoshan Iron & Steel,2019,12,0.086205,14562,0.034206,1184.32,3190.0,9.986,ACTIVE,0.05664
1,Baoshan Iron & Steel,2020,1,0.079193,13850,0.032533,1255.55,3223.5,5.88,ACTIVE,0.05664
1,Baoshan Iron & Steel,2020,2,0.075954,13288,0.031213,1284.39,3297.0,5.541,ACTIVE,0.05664
1,Baoshan Iron & Steel,2020,3,0.070705,12639,0.029689,1390.07,3450.33,7.062,ACTIVE,0.05664
1,Baoshan Iron & Steel,2020,4,0.082358,14228,0.033421,1523.86,3861.25,11.542,ACTIVE,0.05664
1,Baoshan Iron & Steel,2020,5,0.091394,14274,0.033529,1599.85,4293.0,17.991,ACTIVE,0.05664
1,Baoshan Iron & Steel,2020,8,0.068786,12400,0.029127,1695.3,4117.92,6.191,ACTIVE,0.05664
1,Baoshan Iron & Steel,2020,9,0.087374,14804,0.034774,1484.37,3895.75,10.986,ACTIVE,0.05664
1,Baoshan Iron & Steel,2020,10,0.087846,14870,0.034929,1294.69,3463.5,11.315,ACTIVE,0.05664
1,Baoshan Iron & Steel,2020,11,0.095353,15654,0.036771,1108.08,3065.25,16.589,ACTIVE,0.05664
1,Baoshan Iron & Steel,2020,12,0.082184,13668,0.032106,1184.73,3162.5,13.558,ACTIVE,0.05664
1,Baoshan Iron & Steel,2021,1,0.079241,13563,0.031859,1175.83,3042.0,15.497,ACTIVE,0.05664
1,Baoshan Iron & Steel,2021,2,0.07953,13508,0.03173,1217.74,3232.71,9.541,ACTIVE,0.05664
1,Baoshan Iron & Steel,2021,3,0.084748,14434,0.033905,1313.66,3397.0,14.921,ACTIVE,0.05664
1,Baoshan Iron & Steel,2021,4,0.113661,21507,0.050519,1931.52,4602.75,6.493,ACTIVE,0.05664
1,Baoshan Iron & Steel,2021,5,0.060961,11101,0.026076,1706.25,4056.0,7.577,ACTIVE,0.05664
1,Baoshan Iron & Steel,2021,7,0.060516,11131,0.026146,1732.24,4060.5,8.085,ACTIVE,0.05664
1,Baoshan Iron & Steel,2021,8,0.217504,30207,0.070955,2386.24,8353.0,4.501,ACTIVE,0.05664
1,Baoshan Iron & Steel,2021,9,0.118077,21003,0.049335,1757.73,4529.0,5.199,ACTIVE,0.05664
1,Baoshan Iron & Steel,2021,10,0.086816,14214,0.033388,1215.68,3355.5,9.884,ACTIVE,0.05664
1,Baoshan Iron & Steel,2021,11,0.085665,14240,0.033449,1155.51,3164.25,6.665,ACTIVE,0.05664
1,Baoshan Iron & Steel,2021,12,0.077817,13085,0.030736,1185.17,3148.12,6.045,ACTIVE,0.05664
1,Baoshan Iron & Steel,2022,1,0.082198,13590,0.031923,1091.6,2942.5,15.56,ACTIVE,0.05664
