year,month,mills_active,mills_total,mean_heat,median_heat,max_heat,pct_active,date,iron_ore_usd,hrc_steel_usd
2019,1,22,36,0.0614084444444444,0.065713,0.097749,61.11,2019-01-01,75.5,647
2019,2,18,25,0.13363876,0.062782,1.0,72.0,2019-02-01,86.6,650
2019,3,14,39,0.0508991538461538,0.051002,0.095455,35.9,2019-03-01,85.5,640
2019,4,11,37,0.0502357837837837,0.050516,0.079449,29.73,2019-04-01,93.5,612
2019,5,25,40,0.064022575,0.0584485,0.228877,62.5,2019-05-01,98.0,575
2019,6,26,39,0.0696166666666666,0.062287,0.237421,66.67,2019-06-01,112.5,545
2019,7,30,38,0.0828534736842105,0.0685095,0.24986,78.95,2019-07-01,119.5,527
2019,8,31,39,0.0784287435897435,0.068615,0.279347,79.49,2019-08-01,90.0,510
2019,9,38,44,0.0777888636363636,0.0721385,0.262926,86.36,2019-09-01,91.5,500
2019,10,28,42,0.065830619047619,0.0660745,0.184798,66.67,2019-10-01,85.0,488
2019,11,29,44,0.0669889999999999,0.0650895,0.179572,65.91,2019-11-01,86.5,490
2019,12,29,42,0.0658255,0.0675455,0.110792,69.05,2019-12-01,93.5,495
2020,1,26,40,0.0657079,0.0672755,0.16062,65.0,2020-01-01,95.0,510
2020,2,22,41,0.104687731707317,0.0615,0.991761,53.66,2020-02-01,87.0,505
2020,3,15,40,0.0533794749999999,0.0514435,0.096626,37.5,2020-03-01,83.5,480
2020,4,21,45,0.0564293555555555,0.055982,0.106604,46.67,2020-04-01,82.5,455
2020,5,20,40,0.06469205,0.056685,0.246071,50.0,2020-05-01,90.5,445
2020,6,24,32,0.07291090625,0.0630985,0.233428,75.0,2020-06-01,100.5,455
2020,7,27,34,0.0972721764705882,0.071383,0.430942,79.41,2020-07-01,107.5,470
2020,8,34,43,0.0795641860465116,0.07011,0.231885,79.07,2020-08-01,120.0,485
2020,9,34,38,0.0778475263157894,0.0724085,0.268233,89.47,2020-09-01,117.0,530
2020,10,31,43,0.0662083023255814,0.071981,0.18563,72.09,2020-10-01,113.5,605
2020,11,32,45,0.0667949111111111,0.070452,0.169335,71.11,2020-11-01,128.0,695
2020,12,28,41,0.0647449268292683,0.069821,0.097857,68.29,2020-12-01,155.0,790
2021,1,27,41,0.0840338048780487,0.064907,0.974352,65.85,2021-01-01,164.5,885
2021,2,24,43,0.0580279302325581,0.060195,0.088734,55.81,2021-02-01,168.5,975
2021,3,19,43,0.0629436279069767,0.049647,0.281526,44.19,2021-03-01,174.0,1100
2021,4,18,40,0.0697847,0.0552315,0.594451,45.0,2021-04-01,185.0,1275
2021,5,23,34,0.0673412647058823,0.0601975,0.220105,67.65,2021-05-01,218.0,1450
2021,6,23,33,0.0798282727272727,0.066703,0.321366,69.7,2021-06-01,208.0,1650
2021,7,32,37,0.0900786216216216,0.075139,0.237787,86.49,2021-07-01,180.0,1780
2021,8,34,37,0.1051662702702702,0.079205,0.294019,91.89,2021-08-01,158.0,1825
2021,9,36,41,0.086099487804878,0.071819,0.282985,87.8,2021-09-01,117.0,1790
2021,10,35,45,0.0722286444444444,0.074684,0.234024,77.78,2021-10-01,118.0,1750
2021,11,22,44,0.0602067499999999,0.056905,0.09913,50.0,2021-11-01,96.0,1620
2021,12,28,44,0.0643519545454545,0.0645915,0.136906,63.64,2021-12-01,108.5,1490
2022,1,22,38,0.0598990263157894,0.0603135,0.144543,57.89,2022-01-01,135.0,1380
2022,2,23,40,0.0626324499999999,0.0615384999999999,0.322384,57.5,2022-02-01,145.0,1340
2022,3,18,42,0.0505263809523809,0.050834,0.084653,42.86,2022-03-01,155.0,1480
2022,4,17,44,0.0508626363636363,0.0514415,0.091463,38.64,2022-04-01,145.0,1400
2022,5,22,37,0.0701863243243243,0.059455,0.272482,59.46,2022-05-01,130.0,1270
2022,6,23,30,0.0721768333333333,0.0666384999999999,0.239801,76.67,2022-06-01,114.0,1100
2022,7,34,38,0.0827952368421052,0.0719345,0.231694,89.47,2022-07-01,102.0,900
2022,8,34,40,0.0831998,0.0694265,0.254209,85.0,2022-08-01,100.5,840
2022,9,30,38,0.0711768157894736,0.0676495,0.280186,78.95,2022-09-01,95.0,790
2022,10,31,44,0.0637948863636363,0.067459,0.092655,70.45,2022-10-01,82.5,700
2022,11,24,39,0.0666137948717948,0.064833,0.235113,61.54,2022-11-01,93.0,680
2022,12,29,44,0.0635264772727272,0.0642285,0.100493,65.91,2022-12-01,108.0,720
2023,1,26,43,0.0601213255813953,0.062534,0.10208,60.47,2023-01-01,120.0,760
2023,2,19,37,0.0540427297297297,0.056775,0.109694,51.35,2023-02-01,126.0,800
2023,3,17,42,0.0504118333333333,0.0502525,0.086736,40.48,2023-03-01,125.5,820
2023,4,19,41,0.0599619268292682,0.0558,0.217241,46.34,2023-04-01,107.5,790
2023,5,24,41,0.0642635121951219,0.061506,0.211711,58.54,2023-05-01,105.0,760
2023,6,25,31,0.0743028387096774,0.066223,0.303022,80.65,2023-06-01,110.5,740
2023,7,21,30,0.0776065666666666,0.0669025,0.24341,70.0,2023-07-01,110.0,750
2023,8,23,28,0.0881203214285714,0.0699565,0.252039,82.14,2023-08-01,102.5,720
2023,9,29,37,0.077934054054054,0.073215,0.244436,78.38,2023-09-01,117.0,700
2023,10,31,44,0.0683085227272727,0.0693715,0.18603,70.45,2023-10-01,119.5,680
2023,11,31,45,0.0655830444444444,0.065115,0.11883,68.89,2023-11-01,130.0,700
2023,12,33,44,0.0750340909090909,0.0697855,0.259305,75.0,2023-12-01,137.0,720
2024,1,28,40,0.0637196499999999,0.0674285,0.102634,70.0,2024-01-01,133.5,740
2024,2,23,43,0.0608449302325581,0.05988,0.19784,53.49,2024-02-01,124.5,780
2024,3,13,38,0.0490333157894736,0.0510095,0.090766,34.21,2024-03-01,113.0,800
2024,4,14,35,0.0515562857142857,0.052043,0.083357,40.0,2024-04-01,107.5,760
2024,5,23,39,0.0635653076923077,0.062003,0.216545,58.97,2024-05-01,114.0,720
2024,6,19,27,0.0636583333333333,0.059911,0.182701,70.37,2024-06-01,104.5,680
2024,7,26,33,0.0809227272727272,0.064116,0.234202,78.79,2024-07-01,99.5,650
2024,8,31,38,0.0814559210526315,0.0732255,0.234436,81.58,2024-08-01,93.0,630
2024,9,29,36,0.0764264444444444,0.0709825,0.199727,80.56,2024-09-01,91.5,620
2024,10,28,40,0.0740396,0.0701735,0.236428,70.0,2024-10-01,101.0,640
2024,11,27,40,0.064741325,0.0657015,0.093147,67.5,2024-11-01,104.5,660
2024,12,28,40,0.06536515,0.066784,0.102079,70.0,2024-12-01,105.0,670
