year,month,hrc_steel_usd
2019,1,647
2019,2,650
2019,3,640
2019,4,612
2019,5,575
2019,6,545
2019,7,527
2019,8,510
2019,9,500
2019,10,488
2019,11,490
2019,12,495
2020,1,510
2020,2,505
2020,3,480
2020,4,455
2020,5,445
2020,6,455
2020,7,470
2020,8,485
2020,9,530
2020,10,605
2020,11,695
2020,12,790
2021,1,885
2021,2,975
2021,3,1100
2021,4,1275
2021,5,1450
2021,6,1650
2021,7,1780
2021,8,1825
2021,9,1790
2021,10,1750
2021,11,1620
2021,12,1490
2022,1,1380
2022,2,1340
2022,3,1480
2022,4,1400
2022,5,1270
2022,6,1100
2022,7,900
2022,8,840
2022,9,790
2022,10,700
2022,11,680
2022,12,720
2023,1,760
2023,2,800
2023,3,820
2023,4,790
2023,5,760
2023,6,740
2023,7,750
2023,8,720
2023,9,700
2023,10,680
2023,11,700
2023,12,720
2024,1,740
2024,2,780
2024,3,800
2024,4,760
2024,5,720
2024,6,680
2024,7,650
2024,8,630
2024,9,620
2024,10,640
2024,11,660
2024,12,670
