year,month,iron_ore_usd
2019,1,75.5
2019,2,86.6
2019,3,85.5
2019,4,93.5
2019,5,98.0
2019,6,112.5
2019,7,119.5
2019,8,90.0
2019,9,91.5
2019,10,85.0
2019,11,86.5
2019,12,93.5
2020,1,95.0
2020,2,87.0
2020,3,83.5
2020,4,82.5
2020,5,90.5
2020,6,100.5
2020,7,107.5
2020,8,120.0
2020,9,117.0
2020,10,113.5
2020,11,128.0
2020,12,155.0
2021,1,164.5
2021,2,168.5
2021,3,174.0
2021,4,185.0
2021,5,218.0
2021,6,208.0
2021,7,180.0
2021,8,158.0
2021,9,117.0
2021,10,118.0
2021,11,96.0
2021,12,108.5
2022,1,135.0
2022,2,145.0
2022,3,155.0
2022,4,145.0
2022,5,130.0
2022,6,114.0
2022,7,102.0
2022,8,100.5
2022,9,95.0
2022,10,82.5
2022,11,93.0
2022,12,108.0
2023,1,120.0
2023,2,126.0
2023,3,125.5
2023,4,107.5
2023,5,105.0
2023,6,110.5
2023,7,110.0
2023,8,102.5
2023,9,117.0
2023,10,119.5
2023,11,130.0
2023,12,137.0
2024,1,133.5
2024,2,124.5
2024,3,113.0
2024,4,107.5
2024,5,114.0
2024,6,104.5
2024,7,99.5
2024,8,93.0
2024,9,91.5
2024,10,101.0
2024,11,104.5
2024,12,105.0
