year,month,china_output_mt
2019,1,73.9
2019,2,59.8
2019,3,80.3
2019,4,77.0
2019,5,84.9
2019,6,87.5
2019,7,85.5
2019,8,85.9
2019,9,82.9
2019,10,81.7
2019,11,76.5
2019,12,77.1
2020,1,78.0
2020,2,56.2
2020,3,78.9
2020,4,76.3
2020,5,84.5
2020,6,91.6
2020,7,93.4
2020,8,94.9
2020,9,92.5
2020,10,92.0
2020,11,87.2
2020,12,89.4
2021,1,84.4
2021,2,75.0
2021,3,94.2
2021,4,97.9
2021,5,99.5
2021,6,93.0
2021,7,87.6
2021,8,83.2
2021,9,73.8
2021,10,71.6
2021,11,71.2
2021,12,72.0
2022,1,80.9
2022,2,63.8
2022,3,82.9
2022,4,79.0
2022,5,87.2
2022,6,85.6
2022,7,81.4
2022,8,83.8
2022,9,80.0
2022,10,82.8
2022,11,76.8
2022,12,79.6
2023,1,80.7
2023,2,73.7
2023,3,95.7
2023,4,92.8
2023,5,90.1
2023,6,90.5
2023,7,84.9
2023,8,79.2
2023,9,79.0
2023,10,79.6
2023,11,75.6
2023,12,67.4
2024,1,75.0
2024,2,60.0
2024,3,88.3
2024,4,85.7
2024,5,84.2
2024,6,91.6
2024,7,83.0
2024,8,78.0
2024,9,77.1
2024,10,81.9
2024,11,78.5
2024,12,76.0
